ID,ChangeSetID,TimeStamp,ReplicationTime,User,Cube,Tuple,OldValue,NewValue,StatusMessage
2092,,2022-08-17T16:58:53Z,2022-08-17T16:58:53Z,Admin,}DimensionProperties,"['}Cubes', 'LAST_TIME_UPDATED']",20220523170005,20220817165853,
2091,207,2022-08-17T16:55:47Z,,,,,,,Change set 207 complete : 1
2090,207,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_}ClientGroups', '12345']",,READ,
2089,206,2022-08-17T16:55:47Z,,,,,,,Change set 206 complete : 1
2088,206,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_}admincube', 'Test123']",,READ,
2087,205,2022-08-17T16:55:47Z,,,,,,,Change set 205 complete : 1
2086,205,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_}admincube', '12345']",,READ,
2085,204,2022-08-17T16:55:47Z,,,,,,,Change set 204 complete : 1
2084,204,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_sys subset control', 'Test123']",,READ,
2083,203,2022-08-17T16:55:47Z,,,,,,,Change set 203 complete : 1
2082,203,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_sys subset control', '12345']",WRITE,READ,
2081,202,2022-08-17T16:55:47Z,,,,,,,Change set 202 complete : 1
2080,202,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_sys process status', 'Test123']",,READ,
2079,201,2022-08-17T16:55:47Z,,,,,,,Change set 201 complete : 1
2078,201,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_sys process status', '12345']",WRITE,READ,
2077,200,2022-08-17T16:55:47Z,,,,,,,Change set 200 complete : 1
2076,200,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_sys form filter', 'Test123']",,READ,
2075,1ff,2022-08-17T16:55:47Z,,,,,,,Change set 1ff complete : 1
2074,1ff,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_sys form filter', '12345']",WRITE,READ,
2073,1fe,2022-08-17T16:55:47Z,,,,,,,Change set 1fe complete : 1
2072,1fe,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_SYS_User_Selections', 'Test123']",,READ,
2071,1fd,2022-08-17T16:55:47Z,,,,,,,Change set 1fd complete : 1
2070,1fd,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_SYS_User_Selections', '12345']",,READ,
2069,1fc,2022-08-17T16:55:47Z,,,,,,,Change set 1fc complete : 1
2068,1fc,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_Security Assignments', 'Test123']",,READ,
2067,1fb,2022-08-17T16:55:47Z,,,,,,,Change set 1fb complete : 1
2066,1fb,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_Security Assignments', '12345']",,READ,
2065,1fa,2022-08-17T16:55:47Z,,,,,,,Change set 1fa complete : 1
2064,1fa,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_run book control', 'Test123']",,READ,
2063,1fF,2022-08-17T16:55:47Z,,,,,,,Change set 1fF complete : 1
2062,1fF,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_run book control', '12345']",,READ,
2061,1fE,2022-08-17T16:55:47Z,,,,,,,Change set 1fE complete : 1
2060,1fE,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_process log by user', 'Test123']",,READ,
2059,1fD,2022-08-17T16:55:47Z,,,,,,,Change set 1fD complete : 1
2058,1fD,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_process log by user', '12345']",,READ,
2057,1fC,2022-08-17T16:55:47Z,,,,,,,Change set 1fC complete : 1
2056,1fC,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_process log', 'Test123']",,READ,
2055,1fB,2022-08-17T16:55:47Z,,,,,,,Change set 1fB complete : 1
2054,1fB,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_process log', '12345']",,READ,
2053,1fA,2022-08-17T16:55:47Z,,,,,,,Change set 1fA complete : 1
2052,1fA,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_month control', 'Test123']",,READ,
2051,1f9,2022-08-17T16:55:47Z,,,,,,,Change set 1f9 complete : 1
2050,1f9,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_month control', '12345']",,READ,
2049,1f8,2022-08-17T16:55:47Z,,,,,,,Change set 1f8 complete : 1
2048,1f8,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_Hierarchy Management', 'Test123']",,READ,
2047,1f7,2022-08-17T16:55:47Z,,,,,,,Change set 1f7 complete : 1
2046,1f7,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_Hierarchy Management', '12345']",,READ,
2045,1f6,2022-08-17T16:55:47Z,,,,,,,Change set 1f6 complete : 1
2044,1f6,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_Export Control', 'Test123']",,READ,
2043,1f5,2022-08-17T16:55:47Z,,,,,,,Change set 1f5 complete : 1
2042,1f5,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_Export Control', '12345']",,READ,
2041,1f4,2022-08-17T16:55:47Z,,,,,,,Change set 1f4 complete : 1
2040,1f4,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_data control', 'Test123']",,READ,
2039,1f3,2022-08-17T16:55:47Z,,,,,,,Change set 1f3 complete : 1
2038,1f3,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_data control', '12345']",,READ,
2037,1f2,2022-08-17T16:55:47Z,,,,,,,Change set 1f2 complete : 1
2036,1f2,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_control', 'Test123']",,READ,
2035,1f1,2022-08-17T16:55:47Z,,,,,,,Change set 1f1 complete : 1
2034,1f1,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_control', '12345']",WRITE,READ,
2033,1f0,2022-08-17T16:55:47Z,,,,,,,Change set 1f0 complete : 1
2032,1f0,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_CapEx Assumptions', 'Test123']",,READ,
2031,1ef,2022-08-17T16:55:47Z,,,,,,,Change set 1ef complete : 1
2030,1ef,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_CapEx Assumptions', '12345']",,READ,
2029,1ee,2022-08-17T16:55:47Z,,,,,,,Change set 1ee complete : 1
2028,1ee,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_budget planning upload validation', 'Test123']",,READ,
2027,1ed,2022-08-17T16:55:47Z,,,,,,,Change set 1ed complete : 1
2026,1ed,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_budget planning upload validation', '12345']",WRITE,READ,
2025,1ec,2022-08-17T16:55:47Z,,,,,,,Change set 1ec complete : 1
2024,1ec,2022-08-17T16:55:47Z,2022-08-17T16:55:47Z,Admin,}DimensionSecurity,"['}Views_budget planning upload history', 'Test123']",,READ,
2023,1eb,2022-08-17T16:55:47Z,,,,,,,Change set 1eb complete : 1
