Community,Task,Field,Value
C26231 - Osprey Ranch THs (26231),ID Property,Assignee,1202483398164627
C26231 - Osprey Ranch THs (26231),ID Property,Due On,2023-03-14
C26231 - Osprey Ranch THs (26231),ID Property,Start On,2023-03-01
C26231 - Osprey Ranch THs (26231),ID Property,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),ID Property,CIP-Team,"Architecture, Land Acq"
C26231 - Osprey Ranch THs (26231),ID Property,CIP-Actual Date,2023-04-27
C26231 - Osprey Ranch THs (26231),ID Property,CIP-Line ID,P1000.C
C26231 - Osprey Ranch THs (26231),GLC Approval,Assignee,1202483398164627
C26231 - Osprey Ranch THs (26231),GLC Approval,Due On,2023-03-17
C26231 - Osprey Ranch THs (26231),GLC Approval,Completed On,2022-11-09
C26231 - Osprey Ranch THs (26231),GLC Approval,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),GLC Approval,CIP-Team,Management
C26231 - Osprey Ranch THs (26231),GLC Approval,CIP-Actual Date,2023-04-28
C26231 - Osprey Ranch THs (26231),GLC Approval,CIP-Line ID,P1002.C
C26231 - Osprey Ranch THs (26231),Land Committee Approval,Assignee,1199128502925200
C26231 - Osprey Ranch THs (26231),Land Committee Approval,Due On,2023-03-24
C26231 - Osprey Ranch THs (26231),Land Committee Approval,Completed On,2022-11-09
C26231 - Osprey Ranch THs (26231),Land Committee Approval,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Land Committee Approval,CIP-Team,Land Acq
C26231 - Osprey Ranch THs (26231),Land Committee Approval,CIP-Actual Date,2023-04-28
C26231 - Osprey Ranch THs (26231),Land Committee Approval,CIP-Line ID,P1003.C
C26231 - Osprey Ranch THs (26231),Design Review/AQ Review,Assignee,1202453112366854
C26231 - Osprey Ranch THs (26231),Design Review/AQ Review,Due On,2023-03-31
C26231 - Osprey Ranch THs (26231),Design Review/AQ Review,Completed On,2022-11-09
C26231 - Osprey Ranch THs (26231),Design Review/AQ Review,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Design Review/AQ Review,CIP-Team,Architecture
C26231 - Osprey Ranch THs (26231),Design Review/AQ Review,CIP-Actual Date,2023-04-28
C26231 - Osprey Ranch THs (26231),Design Review/AQ Review,CIP-Line ID,P1084.C
C26231 - Osprey Ranch THs (26231),Design Review Go,Assignee,1202453112366854
C26231 - Osprey Ranch THs (26231),Design Review Go,Due On,2023-04-07
C26231 - Osprey Ranch THs (26231),Design Review Go,Completed On,2022-11-09
C26231 - Osprey Ranch THs (26231),Design Review Go,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Design Review Go,CIP-Team,Architecture
C26231 - Osprey Ranch THs (26231),Design Review Go,CIP-Actual Date,2023-04-28
C26231 - Osprey Ranch THs (26231),Design Review Go,CIP-Line ID,P1004.C
C26231 - Osprey Ranch THs (26231),Architectural DTO,Assignee,1202483398164627
C26231 - Osprey Ranch THs (26231),Architectural DTO,Due On,2023-04-14
C26231 - Osprey Ranch THs (26231),Architectural DTO,Completed On,2022-11-09
C26231 - Osprey Ranch THs (26231),Architectural DTO,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Architectural DTO,CIP-Team,Architecture
C26231 - Osprey Ranch THs (26231),Architectural DTO,CIP-Actual Date,2023-04-28
C26231 - Osprey Ranch THs (26231),Architectural DTO,CIP-Line ID,P1055.C
C26231 - Osprey Ranch THs (26231),Community Set-up & Purchasing Complete & Validated (12 wks after DTO),Assignee,1202584680648809
C26231 - Osprey Ranch THs (26231),Community Set-up & Purchasing Complete & Validated (12 wks after DTO),Due On,2023-04-25
C26231 - Osprey Ranch THs (26231),Community Set-up & Purchasing Complete & Validated (12 wks after DTO),Completed On,2022-11-09
C26231 - Osprey Ranch THs (26231),Community Set-up & Purchasing Complete & Validated (12 wks after DTO),CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Community Set-up & Purchasing Complete & Validated (12 wks after DTO),CIP-Team,Purchasing
C26231 - Osprey Ranch THs (26231),Community Set-up & Purchasing Complete & Validated (12 wks after DTO),CIP-Actual Date,2023-04-28
C26231 - Osprey Ranch THs (26231),Community Set-up & Purchasing Complete & Validated (12 wks after DTO),CIP-Line ID,P1098.C
C26231 - Osprey Ranch THs (26231),Submit for Model Permit,Assignee,1199128502925200
C26231 - Osprey Ranch THs (26231),Submit for Model Permit,Due On,2023-04-28
C26231 - Osprey Ranch THs (26231),Submit for Model Permit,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Submit for Model Permit,CIP-Team,Construction
C26231 - Osprey Ranch THs (26231),Submit for Model Permit,CIP-Line ID,P1066.C
C26231 - Osprey Ranch THs (26231),Plan Approval,Assignee,1202453112366854
C26231 - Osprey Ranch THs (26231),Plan Approval,Due On,2023-05-05
C26231 - Osprey Ranch THs (26231),Plan Approval,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Plan Approval,CIP-Team,Architecture
C26231 - Osprey Ranch THs (26231),Plan Approval,CIP-Line ID,P1010.C
C26231 - Osprey Ranch THs (26231),Begin Bid Process,Assignee,1202584680648809
C26231 - Osprey Ranch THs (26231),Begin Bid Process,Due On,2023-05-12
C26231 - Osprey Ranch THs (26231),Begin Bid Process,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Begin Bid Process,CIP-Team,Purchasing
C26231 - Osprey Ranch THs (26231),Begin Bid Process,CIP-Line ID,P1011.C
C26231 - Osprey Ranch THs (26231),Contract Signed,Assignee,1202483398164627
C26231 - Osprey Ranch THs (26231),Contract Signed,Due On,2023-05-19
C26231 - Osprey Ranch THs (26231),Contract Signed,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Contract Signed,CIP-Team,Legal
C26231 - Osprey Ranch THs (26231),Contract Signed,CIP-Line ID,P1083.C
C26231 - Osprey Ranch THs (26231),LD Start,Assignee,1199128502925200
C26231 - Osprey Ranch THs (26231),LD Start,Due On,2023-06-04
C26231 - Osprey Ranch THs (26231),LD Start,Start On,2023-05-28
C26231 - Osprey Ranch THs (26231),LD Start,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),LD Start,CIP-Team,Land Dev
C26231 - Osprey Ranch THs (26231),LD Start,CIP-Line ID,P1086.C
C26231 - Osprey Ranch THs (26231),Energize Site (Site Hot),Assignee,1199128502925200
C26231 - Osprey Ranch THs (26231),Energize Site (Site Hot),Due On,2023-06-08
C26231 - Osprey Ranch THs (26231),Energize Site (Site Hot),Start On,2023-06-05
C26231 - Osprey Ranch THs (26231),Energize Site (Site Hot),CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Energize Site (Site Hot),CIP-Team,Land Dev
C26231 - Osprey Ranch THs (26231),Energize Site (Site Hot),CIP-Line ID,P1019.C
C26231 - Osprey Ranch THs (26231),Model Start,Assignee,1199128502925200
C26231 - Osprey Ranch THs (26231),Model Start,Due On,2023-06-09
C26231 - Osprey Ranch THs (26231),Model Start,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Model Start,CIP-Team,Construction
C26231 - Osprey Ranch THs (26231),Model Start,CIP-Line ID,P1030.C
C26231 - Osprey Ranch THs (26231),Open for Sale,Assignee,1202584680648809
C26231 - Osprey Ranch THs (26231),Open for Sale,Due On,2023-06-16
C26231 - Osprey Ranch THs (26231),Open for Sale,CIP-Milestone,*
C26231 - Osprey Ranch THs (26231),Open for Sale,CIP-Team,Sales
C26231 - Osprey Ranch THs (26231),Open for Sale,CIP-Line ID,P1029.C
C26231 - Osprey Ranch THs (26231),First Lot Takedown/Open Escrow,Assignee,1202483398164627
